CustomerId,Age,CreditScore,Balance,EstimatedSalary,Tenure,NumOfProducts,Geography,Gender,IsActiveMember,HasCrCard,Exited,IQR_flagged,Zscore_flagged,ISO_flagged,DBSCAN_outlier,ISO_score,flag_sum,consensus_anomaly,KMeans_Cluster
15654562,45,850,174088.3,5669.31,5,4,Spain,Female,0,1,1,0,1,1,1,-0.10905115107601382,2,1,2
15608528,68,645,0.0,176353.87,9,4,France,Female,1,1,1,1,1,1,1,-0.10412285095285179,3,1,3
15784958,55,797,0.0,49418.87,10,4,France,Female,1,1,1,0,1,1,1,-0.10101975177252243,2,1,3
15691513,60,592,0.0,13614.01,9,4,France,Male,1,1,1,0,1,1,0,-0.09596289656661972,1,0,3
15677764,74,461,186445.31,196767.83,1,2,Germany,Female,1,1,0,0,1,1,1,-0.09427113007360732,2,1,3
15653776,57,720,162082.31,27145.73,1,4,Germany,Female,0,0,1,0,1,1,1,-0.0888899443569765,2,1,3
15671591,52,439,96196.24,198874.52,3,4,Spain,Male,0,1,1,0,1,1,1,-0.08669902697116849,2,1,3
15778975,70,850,96947.58,62282.99,1,3,Germany,Female,0,1,1,0,0,1,1,-0.08419493215411022,2,1,3
15646037,77,641,0.0,81514.06,9,3,France,Male,1,1,0,0,1,1,0,-0.08280618083963431,1,0,3
15605279,50,792,0.0,194700.81,9,4,France,Male,1,1,1,0,1,1,1,-0.08221040545621527,2,1,2
15670374,49,819,120656.86,166164.3,1,4,Germany,Female,0,0,1,0,1,1,1,-0.0817038636185573,2,1,0
15721426,65,606,126306.64,7861.68,10,3,Germany,Male,0,0,1,0,0,1,1,-0.08074859145632596,2,1,3
15599329,49,697,195238.29,131083.56,7,4,France,Female,1,0,1,0,1,1,1,-0.07898525765841835,2,1,2
15582129,62,517,43772.66,187756.24,1,3,France,Male,0,1,1,0,0,1,0,-0.07689881820141298,1,0,3
15703793,58,738,133745.44,28373.86,2,4,Germany,Male,0,1,1,0,1,1,1,-0.07549580138180978,2,1,3
15622033,41,847,101543.51,16025.17,3,4,Germany,Female,0,1,1,0,1,1,0,-0.07252122797657701,1,0,0
15704442,53,672,169406.33,147311.47,9,4,France,Female,1,1,1,0,1,1,1,-0.07146028544676852,2,1,3
15689341,50,655,0.0,179267.94,10,4,France,Female,0,1,1,0,1,1,0,-0.07080430227937173,1,0,2
15664754,39,640,131607.28,6981.43,9,4,Germany,Male,1,0,1,0,1,1,1,-0.0706300336617195,2,1,2
15750335,43,850,108508.82,184044.8,0,3,Germany,Male,0,1,1,0,0,1,0,-0.07059619955087026,1,0,0
15812210,32,497,111537.23,9497.99,8,4,Germany,Female,1,1,1,0,1,1,1,-0.06807383618859764,2,1,2
15653251,84,408,87873.39,188484.52,8,1,France,Female,0,0,1,0,1,1,1,-0.06746235627715891,2,1,3
15673591,44,842,141252.18,128521.16,3,4,France,Male,1,0,1,0,1,1,1,-0.06625727652777469,2,1,0
15812888,41,447,0.0,197490.39,3,4,France,Male,1,1,1,0,1,1,1,-0.0660140902390206,2,1,0
15815316,50,644,76817.0,196371.13,9,4,France,Male,0,1,1,0,1,1,0,-0.065808815001825,1,0,2
15624180,37,584,134171.8,70927.11,10,4,Germany,Female,1,1,1,0,1,1,0,-0.06554360452381058,1,0,2
15608338,55,757,117294.12,94187.47,9,4,Spain,Female,0,1,1,0,1,1,1,-0.06517984257559695,2,1,3
15752081,56,468,0.0,62256.87,10,3,France,Female,1,0,1,0,0,1,0,-0.06515077467588071,1,0,3
