antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"Prod=1, Senior",Churned,0.05,0.2037,0.0319,0.6379999999999999,3.1320569464899357,0.021714999999999998,2.1997237569060766,0.7165484243524172
Senior,Churned,0.0797,0.2037,0.0448,0.5621079046424091,2.7594889771350473,0.02856511,1.8184845272206307,0.6928328398348365
"HasCard, Senior",Churned,0.0546,0.2037,0.03,0.5494505494505494,2.6973517400616074,0.01887798,1.7673975609756096,0.6656082081658558
"Churned, Germany","High, Inactive",0.0814,0.1872,0.0411,0.5049140049140048,2.6971901971901966,0.025861919999999997,1.6417349875930518,0.6850030433490506
"Churned, High, Prod=1",Germany,0.0698,0.2509,0.0467,0.669054441260745,2.6666179404573334,0.029187179999999997,2.263514285714286,0.6718911500232272
"Inactive, Middle, Prod=1",Churned,0.0696,0.2037,0.0374,0.5373563218390806,2.6379789977372634,0.023222480000000004,1.721195031055901,0.6673709427490219
"Churned, HasCard, High",Germany,0.0712,0.2509,0.0468,0.6573033707865169,2.6197822669849216,0.02893592,2.185898360655738,0.6656857115513446
"Churned, High, Inactive",Germany,0.0627,0.2509,0.0411,0.6555023923444975,2.6126041942785867,0.025368569999999997,2.1744708333333325,0.6585299754458566
"Churned, High",Germany,0.0987,0.2509,0.0646,0.6545086119554205,2.6086433318271043,0.039836170000000004,2.1682161290322584,0.6841883704961427
"Germany, Inactive, Prod=1",Churned,0.072,0.2037,0.0375,0.5208333333333334,2.5568646702667324,0.022833600000000003,1.6618434782608698,0.6561379310344829
"Germany, High, Prod=1",Churned,0.0927,0.2037,0.0467,0.5037756202804746,2.47312528365476,0.02781701,1.604717608695652,0.6565119795633372
"Youth, Zero","France, Prod=2",0.077,0.2367,0.0427,0.5545454545454546,2.34281983331413,0.024474100000000002,1.7135306122448979,0.6209793439070742
"HasCard, High, Prod=2",Germany,0.0823,0.2509,0.0477,0.5795868772782503,2.3100313960870875,0.027050929999999997,1.7818187861271677,0.6179638778835704
"France, Prod=2","Retained, Zero",0.2367,0.3117,0.1679,0.7093367131389945,2.275703282447849,0.09412061000000001,2.368032122093023,0.7344103262478907
"Retained, Zero","France, Prod=2",0.3117,0.2367,0.1679,0.5386589669554058,2.275703282447849,0.09412061000000001,1.6545244089012516,0.8144346971161047
"Prod=2, Spain","Retained, Zero",0.1183,0.3117,0.0835,0.705832628909552,2.264461433781046,0.04662589000000001,2.3398244252873566,0.6333150643252455
"Churned, Germany","High, Prod=1",0.0814,0.2537,0.0467,0.5737100737100737,2.261371989397216,0.02604882,1.7506864553314119,0.6072181342896346
"Active, High, Prod=2",Germany,0.0631,0.2509,0.0358,0.5673534072900158,2.261273046193766,0.019968209999999997,1.7314362637362637,0.595336993329362
"High, Prod=2",Germany,0.1157,0.2509,0.0641,0.554019014693172,2.2081268022844642,0.035070870000000004,1.679668023255814,0.6187124924779871
"High, Prod=2, Retained",Germany,0.0998,0.2509,0.054,0.5410821643286573,2.1565650232309976,0.02896018,1.6323183406113537,0.5957560871246719
"Adult, High, Prod=2",Germany,0.0563,0.2509,0.0302,0.536412078152753,2.13795168653947,0.016074329999999998,1.6158747126436779,0.5640167243630994
"Churned, Germany","HasCard, High",0.0814,0.2699,0.0468,0.5749385749385749,2.130191089064746,0.024830140000000004,1.7176341040462426,0.577572988252283
"France, LowSal, Prod=2",Zero,0.0583,0.3617,0.0448,0.7684391080617496,2.124520619468481,0.02371289,2.7565103703703713,0.5620745251748358
"France, Prod=2, Youth",Zero,0.0556,0.3617,0.0427,0.7679856115107915,2.1232668275111735,0.022589480000000002,2.751122480620156,0.5601732683824879
"Adult, Zero","France, Prod=2",0.1647,0.2367,0.0827,0.5021250758955677,2.121356467661883,0.04371550999999999,1.5331159756097559,0.6328307274638383
"Churned, Germany, HasCard",High,0.0577,0.383,0.0468,0.8110918544194108,2.117733301356164,0.0247009,3.2661376146789,0.5601156834840375
"Churned, Germany, Prod=1",High,0.0578,0.383,0.0467,0.8079584775086506,2.1095521605969987,0.0245626,3.2128468468468476,0.5582315206516981
"Prod=2, Retained, Spain",Zero,0.1096,0.3617,0.0835,0.7618613138686131,2.1063348461946725,0.04385768,2.6803708812260534,0.5898940663148098
"France, Prod=2, Retained",Zero,0.2232,0.3617,0.1679,0.7522401433691756,2.0797349830499736,0.08716855999999999,2.576284990958408,0.6683438538338438
"France, HasCard, Prod=2",Zero,0.1663,0.3617,0.1249,0.751052315093205,2.0764509679104366,0.06474928999999999,2.563992512077294,0.6218172570922276
"France, Good, Prod=2",Zero,0.0576,0.3617,0.0432,0.7500000000000001,2.0735416090682888,0.02236608,2.5532000000000012,0.5493774759479344
"Churned, Germany",High,0.0814,0.383,0.0646,0.7936117936117937,2.0720934559054665,0.033423800000000004,2.9895119047619056,0.5632443771279353
"Churned, Germany, Inactive",High,0.0518,0.383,0.0411,0.7934362934362934,2.0716352309041604,0.021260599999999998,2.986971962616822,0.545548974597021
"Active, Prod=2, Spain",Zero,0.0609,0.3617,0.0453,0.7438423645320197,2.0565174579265126,0.023272469999999996,2.4918249999999995,0.5470568199368001
"Fair, France, Prod=2",Zero,0.0786,0.3617,0.0582,0.7404580152671756,2.0471606725661475,0.02977038,2.4593323529411766,0.5551536321912642
"France, HighSal, Prod=2",Zero,0.0587,0.3617,0.0434,0.7393526405451448,2.0441046185931566,0.02216821,2.448902614379085,0.5426412927312507
"France, Prod=2","HasCard, Zero",0.2367,0.2592,0.1249,0.527672158850866,2.035772217788835,0.06354736,1.5684021466905187,0.6665608656189985
"France, Inactive, Prod=2",Zero,0.1098,0.3617,0.0807,0.7349726775956283,2.03199523803049,0.040985339999999995,2.4084309278350506,0.5705154599567868
"France, Prod=2",Zero,0.2367,0.3617,0.1739,0.7346852555978032,2.031200596068021,0.08828561,2.4058218152866244,0.6651124505764632
"Active, France, Prod=2",Zero,0.1269,0.3617,0.0932,0.7344365642237982,2.0305130335189334,0.04730027,2.4035688427299697,0.5812777764396312
"HasCard, High, Middle",Germany,0.0636,0.2509,0.0324,0.5094339622641508,2.030426314325033,0.016442759999999997,1.5270115384615381,0.5419613333966173
"Adult, Prod=2, Spain",Zero,0.056,0.3617,0.0411,0.7339285714285714,2.0291085745882538,0.020844799999999997,2.3989798657718113,0.5372592684234401
"France, Middle, Prod=2",Zero,0.0458,0.3617,0.0336,0.7336244541484715,2.0282677748091555,0.017034139999999996,2.396240983606557,0.5313020880118972
"France, Poor, Prod=2",Zero,0.0563,0.3617,0.0412,0.7317939609236234,2.0232069696533683,0.020836289999999997,2.3798867549668867,0.5359067438537217
"HasCard, Prod=2, Spain",Zero,0.0834,0.3617,0.0609,0.7302158273381295,2.0188438687811154,0.03073422,2.3659653333333335,0.5505858554155484
"Prod=2, Spain",Zero,0.1183,0.3617,0.0861,0.7278106508875739,2.0121942241846114,0.04331088999999999,2.3450586956521735,0.5705229457874708
"Adult, France, Prod=2",Zero,0.114,0.3617,0.0827,0.725438596491228,2.0056361528648825,0.041466199999999995,2.324798722044728,0.5659199532701351
"High, Middle",Germany,0.091,0.2509,0.0455,0.5,1.9928258270227182,0.022668099999999997,1.4982,0.548074807480748
"France, Prod=2, VeryHighSal",Zero,0.0601,0.3617,0.0433,0.7204658901830282,1.991888001611911,0.021561829999999997,2.283442261904761,0.5298050232359739
