antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"Prod=1, Senior",Churned,0.05,0.2037,0.0319,0.6379999999999999,3.1320569464899357,0.021714999999999998,2.1997237569060766,0.7165484243524172
Senior,Churned,0.0797,0.2037,0.0448,0.5621079046424091,2.7594889771350473,0.02856511,1.8184845272206307,0.6928328398348365
"HasCard, Senior",Churned,0.0546,0.2037,0.03,0.5494505494505494,2.6973517400616074,0.01887798,1.7673975609756096,0.6656082081658558
"Churned, Germany","High, Inactive",0.0814,0.1872,0.0411,0.5049140049140048,2.6971901971901966,0.025861919999999997,1.6417349875930518,0.6850030433490506
"Churned, High, Prod=1",Germany,0.0698,0.2509,0.0467,0.669054441260745,2.6666179404573334,0.029187179999999997,2.263514285714286,0.6718911500232272
"Inactive, Middle, Prod=1",Churned,0.0696,0.2037,0.0374,0.5373563218390806,2.6379789977372634,0.023222480000000004,1.721195031055901,0.6673709427490219
"Churned, HasCard, High",Germany,0.0712,0.2509,0.0468,0.6573033707865169,2.6197822669849216,0.02893592,2.185898360655738,0.6656857115513446
"Churned, High, Inactive",Germany,0.0627,0.2509,0.0411,0.6555023923444975,2.6126041942785867,0.025368569999999997,2.1744708333333325,0.6585299754458566
"Churned, High",Germany,0.0987,0.2509,0.0646,0.6545086119554205,2.6086433318271043,0.039836170000000004,2.1682161290322584,0.6841883704961427
"Germany, Inactive, Prod=1",Churned,0.072,0.2037,0.0375,0.5208333333333334,2.5568646702667324,0.022833600000000003,1.6618434782608698,0.6561379310344829
