antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedent_len,consequent_len
"frozenset({'Active_Status_Inactive', 'Products_Label_Products_1', 'Age_Band_Age_46_to_60'})",frozenset({'Churn_Status_Churned'}),0.0524,0.2037,0.0405,0.7729007633587787,3.7943090984721586,0.02982612,3.5063966232155312,0.7771711770867532,3,1
"frozenset({'Active_Status_Inactive', 'Age_Band_Age_46_to_60'})","frozenset({'Products_Label_Products_1', 'Churn_Status_Churned'})",0.0787,0.1409,0.0405,0.5146124523506989,3.652324005327884,0.02941117,1.7699259125839484,0.7882358931890391,2,2
"frozenset({'Active_Status_Inactive', 'Age_Band_Age_46_to_60', 'Balance_Band_Balance_Above_100K'})",frozenset({'Churn_Status_Churned'}),0.0431,0.2037,0.0313,0.7262180974477959,3.565135480843377,0.022520530000000004,2.908519480901933,0.7519132101564658,3,1
"frozenset({'Active_Status_Inactive', 'Age_Band_Age_46_to_60'})",frozenset({'Churn_Status_Churned'}),0.0787,0.2037,0.0538,0.6836086404066073,3.35595797941388,0.03776881,2.5168196707600914,0.7619911979879731,2,1
"frozenset({'Active_Status_Inactive', 'CrCard_Status_Has_CrCard', 'Age_Band_Age_46_to_60'})",frozenset({'Churn_Status_Churned'}),0.0559,0.2037,0.0378,0.6762075134168157,3.319624513582797,0.02641317,2.459291152625725,0.7401346373383234,3,1
"frozenset({'Geography_Germany', 'Age_Band_Age_46_to_60'})",frozenset({'Churn_Status_Churned'}),0.0502,0.2037,0.0338,0.6733067729083665,3.3053842558093596,0.023574259999999996,2.43745487058779,0.7343265041160953,2,1
"frozenset({'Gender_Female', 'Age_Band_Age_46_to_60', 'Products_Label_Products_1'})",frozenset({'Churn_Status_Churned'}),0.0486,0.2037,0.0323,0.6646090534979425,3.2626855841823397,0.022400180000000006,2.3742441647001074,0.7289300239308408,3,1
"frozenset({'Products_Label_Products_1', 'Age_Band_Age_46_to_60'})",frozenset({'Churn_Status_Churned'}),0.0995,0.2037,0.0606,0.6090452261306533,2.9899127448731138,0.04033185,2.036808478080657,0.7390805987872524,2,1
"frozenset({'CrCard_Status_Has_CrCard', 'Age_Band_Age_46_to_60', 'Products_Label_Products_1'})",frozenset({'Churn_Status_Churned'}),0.0698,0.2037,0.0418,0.5988538681948423,2.939881532620728,0.027581739999999997,1.985062137908666,0.7093638349112553,3,1
"frozenset({'Products_Label_Products_1', 'Age_Band_Age_46_to_60', 'Balance_Band_Balance_Above_100K'})",frozenset({'Churn_Status_Churned'}),0.0589,0.2037,0.0351,0.5959252971137521,2.925504649552048,0.02310207,1.9706752052070262,0.6993716209527493,3,1
"frozenset({'Age_Band_Age_46_to_60', 'Balance_Band_Balance_Above_100K'})",frozenset({'Churn_Status_Churned'}),0.0847,0.2037,0.0489,0.577331759149941,2.8342256217473785,0.03164661,1.8839835150957147,0.7070577282315161,2,1
"frozenset({'Gender_Female', 'Age_Band_Age_46_to_60'})",frozenset({'Churn_Status_Churned'}),0.0822,0.2037,0.0471,0.572992700729927,2.812924402208773,0.030355860000000005,1.8648393118720856,0.7022206245064008,2,1
"frozenset({'CrCard_Status_Has_CrCard', 'Age_Band_Age_46_to_60', 'Balance_Band_Balance_Above_100K'})",frozenset({'Churn_Status_Churned'}),0.0589,0.2037,0.0334,0.567062818336163,2.7838135411691853,0.02140207,1.839296858496683,0.6808846444821546,3,1
"frozenset({'Balance_Band_Balance_Above_100K', 'Geography_Germany', 'Products_Label_Products_1', 'Active_Status_Inactive'})",frozenset({'Churn_Status_Churned'}),0.0587,0.2037,0.0327,0.5570698466780238,2.7347562428965335,0.02074281,1.7978003805565044,0.6738942921998369,4,1
"frozenset({'CrCard_Status_Has_CrCard', 'Age_Band_Age_46_to_60', 'Gender_Female'})",frozenset({'Churn_Status_Churned'}),0.0568,0.2037,0.0314,0.5528169014084506,2.713877768328182,0.019829839999999998,1.7807023582226809,0.6695542481753403,3,1
"frozenset({'Active_Status_Inactive', 'Geography_Germany', 'Products_Label_Products_1'})",frozenset({'Churn_Status_Churned'}),0.072,0.2037,0.0375,0.5208333333333334,2.5568646702667324,0.022833600000000003,1.6618434747926745,0.6561379310344829,3,1
frozenset({'Age_Band_Age_46_to_60'}),frozenset({'Churn_Status_Churned'}),0.1647,0.2037,0.0842,0.5112325440194292,2.509732665780212,0.05065061,1.6292001208903195,0.7201618432281289,1,1
"frozenset({'CrCard_Status_Has_CrCard', 'Balance_Band_Zero_Balance', 'Age_Band_Age_18_to_30'})","frozenset({'Geography_France', 'Products_Label_Products_2'})",0.0549,0.2367,0.0307,0.5591985428051003,2.3624780008664987,0.017705170000000003,1.731618591112981,0.6102165222507175,3,2
"frozenset({'Balance_Band_Zero_Balance', 'Age_Band_Age_18_to_30'})","frozenset({'Geography_France', 'Products_Label_Products_2'})",0.077,0.2367,0.0427,0.5545454545454546,2.34281983331413,0.024474100000000002,1.7135306083981965,0.6209793439070742,2,2
"frozenset({'Active_Status_Active', 'Products_Label_Products_2', 'CrCard_Status_Has_CrCard', 'Balance_Band_Balance_Above_100K'})",frozenset({'Geography_Germany'}),0.0568,0.2509,0.0323,0.5686619718309859,2.266488528620908,0.018048880000000003,1.7366889755655535,0.5924394131564505,4,1
"frozenset({'Geography_France', 'Products_Label_Products_2', 'Age_Band_Age_18_to_30', 'CrCard_Status_Has_CrCard'})",frozenset({'Balance_Band_Zero_Balance'}),0.0383,0.3617,0.0307,0.8015665796344648,2.2161088737474834,0.01684689,3.216696036421124,0.5706131141955122,4,1
"frozenset({'Products_Label_Products_2', 'CrCard_Status_Has_CrCard', 'Balance_Band_Balance_Above_100K', 'Gender_Male'})",frozenset({'Geography_Germany'}),0.0576,0.2509,0.0319,0.5538194444444444,2.2073313847925244,0.017448159999999997,1.6789167277546455,0.5803950162594269,4,1
"frozenset({'Active_Status_Active', 'Products_Label_Products_2', 'Balance_Band_Balance_Above_100K'})",frozenset({'Geography_Germany'}),0.0796,0.2509,0.0438,0.550251256281407,2.193109829738569,0.023828359999999996,1.6655966443412988,0.5910761451741251,3,1
"frozenset({'Products_Label_Products_2', 'CrCard_Status_Has_CrCard', 'Balance_Band_Balance_Above_100K'})",frozenset({'Geography_Germany'}),0.1045,0.2509,0.0575,0.5502392344497609,2.193061914905384,0.03128095,1.665552123956379,0.6075003034496153,3,1
"frozenset({'Active_Status_Active', 'Balance_Band_Zero_Balance', 'CreditScore_Band_Fair_Credit'})","frozenset({'Geography_France', 'Products_Label_Products_2'})",0.0618,0.2367,0.0319,0.5161812297734627,2.1807403032254444,0.01727194,1.577656852926448,0.5771052285140157,3,2
"frozenset({'Active_Status_Active', 'Tenure_Band_Loyal', 'Balance_Band_Zero_Balance'})","frozenset({'Geography_France', 'Products_Label_Products_2'})",0.0866,0.2367,0.0445,0.5138568129330254,2.1709202067301456,0.02400178,1.5701135359626643,0.5905034406575753,3,2
"frozenset({'Products_Label_Products_2', 'Balance_Band_Balance_Above_100K', 'Tenure_Band_Loyal'})",frozenset({'Geography_Germany'}),0.0663,0.2509,0.0359,0.5414781297134239,2.158143203321737,0.01926533,1.6337279569632843,0.5747442633211446,3,1
"frozenset({'Geography_France', 'Products_Label_Products_2', 'CrCard_Status_Has_CrCard', 'Salary_Band_Low_Income'})",frozenset({'Balance_Band_Zero_Balance'}),0.0418,0.3617,0.0326,0.7799043062200957,2.156218706718539,0.017480939999999997,2.9001021607364916,0.5596171502548873,4,1
"frozenset({'Balance_Band_Zero_Balance', 'CreditScore_Band_Fair_Credit', 'Gender_Male'})","frozenset({'Geography_France', 'Products_Label_Products_2'})",0.0669,0.2367,0.0341,0.5097159940209267,2.1534262527288837,0.01826477,1.5568527407270287,0.5740260997381729,3,2
