antecedents,consequents,support,confidence,IF (Conditions),THEN (Outcome),Support (%),Confidence (%),Lift,Conviction,Confidence gain vs best parent (pp),Business Commentary
"frozenset({'Age_Band_Age_46_to_60', 'Active_Status_Inactive', 'Products_Label_Products_1'})",frozenset({'Churn_Status_Churned'}),0.0405,0.7729007633587787,Age 46–60 ∩ Inactive ∩ Products=1,Churned,4.05,77.3,3.794,3.506,8.9,"The strongest compound association has 77.3% confidence and 3.794 lift, adding 8.9 percentage points over its best simpler parent. The actionable levers are inactivity and a one-product relationship, not age itself: test re-engagement plus a relevant second-product offer against a holdout before any wider rollout."
"frozenset({'Age_Band_Age_46_to_60', 'Active_Status_Inactive', 'Balance_Band_Balance_Above_100K'})",frozenset({'Churn_Status_Churned'}),0.0313,0.7262180974477959,Age 46–60 ∩ Balance Above 100K ∩ Inactive,Churned,3.13,72.6,3.565,2.909,4.3,"Association concentrates among the dataset’s age 46–60 band, inactive customers, balances above the 100K scenario cut. Next step: test a re-engagement contact; prioritize relationship-manager review while sensitivity-testing the threshold; do not treat the rule as causal."
"frozenset({'Age_Band_Age_46_to_60', 'Active_Status_Inactive'})",frozenset({'Churn_Status_Churned'}),0.0538,0.6836086404066073,Age 46–60 ∩ Inactive,Churned,5.38,68.4,3.356,2.517,17.2,"Association concentrates among the dataset’s age 46–60 band, inactive customers. Next step: test a re-engagement contact; do not treat the rule as causal."
"frozenset({'Age_Band_Age_46_to_60', 'Geography_Germany'})",frozenset({'Churn_Status_Churned'}),0.0338,0.6733067729083665,Age 46–60 ∩ Germany,Churned,3.38,67.3,3.305,2.437,16.2,"Association concentrates among the dataset’s age 46–60 band, the German book. Next step: audit local service and product-fit drivers; do not treat the rule as causal."
"frozenset({'Age_Band_Age_46_to_60', 'Gender_Female', 'Products_Label_Products_1'})",frozenset({'Churn_Status_Churned'}),0.0323,0.6646090534979425,Age 46–60 ∩ Female ∩ Products=1,Churned,3.23,66.5,3.263,2.374,5.6,"Among women aged 46–60 with one product, churn confidence is 66.5% with 3.263 lift and a 5.6-point gain over the best simpler parent. Use this as a prompt for safeguarded experience research and a controlled product-depth test—not for gender-based targeting."
"frozenset({'Age_Band_Age_46_to_60', 'Products_Label_Products_1'})",frozenset({'Churn_Status_Churned'}),0.0606,0.6090452261306533,Age 46–60 ∩ Products=1,Churned,6.06,60.9,2.99,2.037,9.8,"Association concentrates among the dataset’s age 46–60 band, single-product relationships. Next step: test a relevant second-product offer; do not treat the rule as causal."
"frozenset({'Age_Band_Age_46_to_60', 'Balance_Band_Balance_Above_100K'})",frozenset({'Churn_Status_Churned'}),0.0489,0.577331759149941,Age 46–60 ∩ Balance Above 100K,Churned,4.89,57.7,2.834,1.884,6.6,"Association concentrates among the dataset’s age 46–60 band, balances above the 100K scenario cut. Next step: prioritize relationship-manager review while sensitivity-testing the threshold; do not treat the rule as causal."
"frozenset({'Age_Band_Age_46_to_60', 'Gender_Female'})",frozenset({'Churn_Status_Churned'}),0.0471,0.572992700729927,Age 46–60 ∩ Female,Churned,4.71,57.3,2.813,1.865,6.2,"Association concentrates among the dataset’s age 46–60 band, female customers. Next step: investigate experience differences with fairness safeguards; do not treat the rule as causal."
"frozenset({'Active_Status_Inactive', 'Balance_Band_Balance_Above_100K', 'Products_Label_Products_1', 'Geography_Germany'})",frozenset({'Churn_Status_Churned'}),0.0327,0.5570698466780238,Balance Above 100K ∩ Germany ∩ Inactive ∩ Products=1,Churned,3.27,55.7,2.735,1.798,3.6,"Association concentrates among inactive customers, single-product relationships, the German book, balances above the 100K scenario cut. Next step: test a re-engagement contact; test a relevant second-product offer; audit local service and product-fit drivers; prioritize relationship-manager review while sensitivity-testing the threshold; do not treat the rule as causal."
"frozenset({'Active_Status_Inactive', 'Products_Label_Products_1', 'Geography_Germany'})",frozenset({'Churn_Status_Churned'}),0.0375,0.5208333333333334,Germany ∩ Inactive ∩ Products=1,Churned,3.75,52.1,2.557,1.662,9.2,"The assigned Germany hypothesis is supported: inactive, one-product German customers show 52.1% confidence and 2.557 lift, a 9.2-point gain over the best simpler parent. Geography may proxy for market or service differences, so audit the German service journey and product fit before attributing the pattern to customers."
