CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,IQR_outlier_count,IQR_flag,ZScore_outlier_count,ZScore_flag,IF_flag,IF_anomaly_score,MAHA_dist2,MAHA_flag,LOF_flag,LOF_score,UNI_flag,MV_flag,UniMV_Segment,Max_Abs_Z,HighBal_Churn_flag,DBSCAN_flag,Composite_Anomaly_Score,Anomaly_Class
619,France,Female,42,2,0.0,1,1,1,101348.88,1,0,0,0,0,0,-0.4676333655070103,5.128535377999677,0,0,0.9593467987795185,0,0,Neither,1.2258476714090278,0,0,0,Normal — Not Flagged
608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,0,0,0,0,0,-0.4581994285225329,3.1656875452722373,0,0,1.057800095768463,0,0,Neither,1.3875375865624426,0,0,0,Normal — Not Flagged
502,France,Female,42,8,159660.8,3,1,0,113931.57,1,0,0,0,0,1,-0.5821745907735115,19.565929581938818,0,0,1.0309533538501299,0,1,Multivariate only,2.52705661927622,1,1,2,C: Risk Signal — High-Balance Pre-Churn
699,France,Female,39,1,0.0,2,0,0,93826.63,0,0,0,0,0,0,-0.45195569207194997,4.121378888326463,0,0,0.9871912299180051,0,0,Neither,1.3875375865624426,0,0,0,Normal — Not Flagged
850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,0,0,0,0,0,-0.5050417666075374,6.915319103867074,0,0,1.0711868818570536,0,0,Neither,2.063883767202561,0,0,0,Normal — Not Flagged
645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,0,0,0,0,0,-0.4516098324457895,4.544054456094665,0,0,0.9954865159343151,0,0,Neither,1.03290776479748,0,0,0,Normal — Not Flagged
822,France,Male,50,7,0.0,2,1,1,10062.8,0,0,0,0,0,0,-0.5408584867039329,10.170471457733536,0,1,1.4995973742034379,0,1,Multivariate only,1.7741740472947665,0,0,0,Normal — Not Flagged
376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,1,1,0,0,1,-0.6329197578855613,39.04182023724822,1,1,1.4114932762994834,1,1,Both families,4.246376675934418,0,1,3,C: Risk Signal — Density Outlier + Churned
501,France,Male,44,4,142051.07,2,0,1,74940.5,0,0,0,0,0,0,-0.4920167079985907,6.799088602069432,0,0,1.039068793121174,0,0,Neither,1.5471409559338818,0,0,0,Normal — Not Flagged
684,France,Male,27,2,134603.88,1,1,1,71725.73,0,0,0,0,0,0,-0.46859871439347817,4.481391397814171,0,0,0.9983369362936318,0,0,Neither,1.1367864376227783,0,0,0,Normal — Not Flagged
528,France,Male,31,6,102016.72,2,0,0,80181.12,0,0,0,0,0,0,-0.4607328938879287,4.0514048738071855,0,0,1.006843278416535,0,0,Neither,1.2677780117370796,0,0,0,Normal — Not Flagged
497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,0,0,0,0,0,-0.5011046574646196,7.208321272556663,0,0,1.1931824660651886,0,0,Neither,1.5885280587778525,0,0,0,Normal — Not Flagged
476,France,Female,34,10,0.0,2,1,0,26260.98,0,0,0,0,0,0,-0.5428314108486091,9.820600143939428,0,0,1.1664550162309983,0,0,Neither,1.8058103487086987,0,0,0,Normal — Not Flagged
549,France,Female,25,5,0.0,2,0,0,190857.79,0,0,0,0,0,0,-0.4940193039332824,7.206828143828737,0,0,1.0620450892763695,0,0,Neither,1.5783569986897874,0,0,0,Normal — Not Flagged
635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,0,0,0,0,0,-0.42736723858747216,2.648400420312907,0,0,0.9850852248743787,0,0,Neither,1.2258476714090278,0,0,0,Normal — Not Flagged
616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,0,0,0,0,0,-0.47090602860884656,5.233527297719155,0,0,0.998296261773093,0,0,Neither,1.0681029591182611,0,0,0,Normal — Not Flagged
653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,0,0,0,0,0,-0.5441975597540575,10.459733712516272,0,0,1.0479450750034753,0,0,Neither,1.8191748741175742,1,0,0,Normal — Not Flagged
549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,0,0,0,0,0,-0.5310395855206044,9.14886339348338,0,0,1.126333478494651,0,0,Neither,1.4899561835690913,0,0,0,Normal — Not Flagged
587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,0,0,0,0,0,-0.47916127603017544,5.930019183483848,0,0,1.0118046074986913,0,0,Neither,1.2258476714090278,0,0,0,Normal — Not Flagged
726,France,Female,24,6,0.0,2,1,1,54724.03,0,0,0,0,0,0,-0.4716883881947701,5.205345856596721,0,0,1.0543617998183994,0,0,Neither,1.4228472097266833,0,0,0,Normal — Not Flagged
732,France,Male,41,8,0.0,2,1,1,170886.17,0,0,0,0,0,0,-0.46436038375238464,5.319670149127626,0,0,1.0158563800646645,0,0,Neither,1.2310704831801604,0,0,0,Normal — Not Flagged
636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,0,0,0,0,0,-0.44856258136996074,3.5582253390140837,0,0,0.9741030652126419,0,0,Neither,1.2258476714090278,0,0,0,Normal — Not Flagged
510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,0,0,0,0,0,-0.4819855885734385,6.105741279407082,0,0,1.0027877537106176,0,0,Neither,1.4540199745349478,0,0,0,Normal — Not Flagged
669,France,Male,46,3,0.0,2,0,1,8487.75,0,0,0,0,0,0,-0.4882355686227185,5.897185179368113,0,0,1.070281028790137,0,0,Neither,1.5928757668520803,0,0,0,Normal — Not Flagged
