Source_RowNumber,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,IQR_outlier_count,IQR_flag,ZScore_outlier_count,ZScore_flag,IF_flag,IF_anomaly_score,MAHA_dist2,MAHA_flag,LOF_flag,LOF_score,UNI_flag,MV_flag,UniMV_Segment,Max_Abs_Z,HighBal_Churn_flag,DBSCAN_flag,Composite_Anomaly_Score,Anomaly_Class,Anomaly_Evidence,Recommended_Action
3,502,France,Female,42,8,159660.8,3,1,0,113931.57,1,0,0,0,0,1,-0.5821745907735115,18.52322721611929,0,0,1.0309533538501299,0,1,Multivariate only,2.52705661927622,1,1,2,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
8,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,1,1,0,0,1,-0.6329197578855613,37.03717687013007,1,1,1.4114932762994834,1,1,Both families,4.246376675934418,0,1,3,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
30,411,France,Male,29,0,59697.17,2,1,1,53483.21,0,0,0,0,0,1,-0.5892773892866653,11.271511961923283,0,1,1.3936879584350772,0,1,Multivariate only,2.4783507699232223,0,1,2,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
59,511,Spain,Female,66,4,0.0,1,1,0,1643.11,1,1,1,0,0,1,-0.6062728708135356,17.216528663067496,0,1,1.2172974833160604,1,1,Both families,2.5820035997279875,0,1,3,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
71,738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,0,0,0,0,1,-0.6294877679432308,40.70224949747759,1,0,1.1396773775091218,0,1,Multivariate only,4.246376675934418,1,1,2,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
86,652,Spain,Female,75,10,0.0,2,1,1,114675.75,0,1,1,1,1,1,-0.5789697192563489,22.49892972771523,1,1,1.214437855561762,1,1,Both families,3.440185916039703,0,0,3,B: Rare Legitimate — Statistical/Isolation Outlier,Flagged statistically or by Isolation Forest without structural risk-profile evidence.,Retain and monitor; investigate only if other business evidence emerges.
105,670,Spain,Female,65,1,0.0,1,1,1,177655.68,1,1,1,0,0,1,-0.5666496703970539,15.924970185357518,0,0,1.1721518323397173,1,1,Both families,2.4866500090266856,0,0,2,B: Rare Legitimate — Statistical/Isolation Outlier,Flagged statistically or by Isolation Forest without structural risk-profile evidence.,Retain and monitor; investigate only if other business evidence emerges.
159,646,France,Female,73,6,97259.25,1,0,1,104719.66,0,1,1,1,1,0,-0.5303144195288715,15.350719989040726,0,0,1.0969923143697389,1,0,Univariate only,3.2494787346370995,0,0,2,B: Rare Legitimate — Statistical/Isolation Outlier,Flagged statistically or by Isolation Forest without structural risk-profile evidence.,Retain and monitor; investigate only if other business evidence emerges.
182,510,France,Male,65,2,0.0,2,1,1,48071.61,0,1,1,0,0,1,-0.5633036674777424,15.064918876637027,0,0,1.0995919311794542,1,1,Both families,2.4866500090266856,0,0,2,B: Rare Legitimate — Statistical/Isolation Outlier,Flagged statistically or by Isolation Forest without structural risk-profile evidence.,Retain and monitor; investigate only if other business evidence emerges.
231,673,France,Male,72,1,0.0,2,0,1,111981.19,0,1,1,1,1,0,-0.5527617838329248,18.791262059512032,0,0,1.0653960705465575,1,0,Univariate only,3.1541251439357976,0,0,2,B: Rare Legitimate — Statistical/Isolation Outlier,Flagged statistically or by Isolation Forest without structural risk-profile evidence.,Retain and monitor; investigate only if other business evidence emerges.
235,585,France,Female,67,5,113978.97,2,0,1,93146.11,0,1,1,0,0,0,-0.5256592259012294,13.459201189675802,0,0,1.0483218995473516,1,0,Univariate only,2.6773571904292894,0,1,2,C: Risk Signal — DBSCAN Density Outlier,Phase 2 places the record outside dense customer neighbourhoods.,Review the unusual feature combination and monitor engagement.
253,681,France,Female,79,0,0.0,2,0,1,170968.99,0,1,1,1,1,1,-0.6039230580318179,28.06780330929134,1,0,1.094359579353013,1,1,Both families,3.8216002788449095,0,1,4,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
285,799,France,Female,22,8,174185.98,2,0,1,192633.85,0,0,0,0,0,1,-0.595690394988454,13.191456231823917,0,1,1.406691652309993,0,1,Multivariate only,1.6135543911292867,0,1,2,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
311,652,France,Female,80,4,0.0,2,1,1,188603.07,0,1,1,1,1,1,-0.5690177691330929,27.09401413600926,1,0,1.097248097914276,1,1,Both families,3.916953869546211,0,0,3,B: Rare Legitimate — Statistical/Isolation Outlier,Flagged statistically or by Isolation Forest without structural risk-profile evidence.,Retain and monitor; investigate only if other business evidence emerges.
365,640,France,Male,68,9,0.0,2,1,1,199493.38,0,1,1,0,0,1,-0.5752911227478825,18.458783683000508,0,0,1.1843439576000172,1,1,Both families,2.772710781130591,0,0,2,B: Rare Legitimate — Statistical/Isolation Outlier,Flagged statistically or by Isolation Forest without structural risk-profile evidence.,Retain and monitor; investigate only if other business evidence emerges.
372,640,Germany,Female,75,1,106307.91,2,0,1,113428.77,0,1,1,1,1,1,-0.5668313687347603,21.2765090253758,0,0,1.0995069120595562,1,1,Both families,3.440185916039703,0,1,4,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
377,745,Germany,Male,45,10,117231.63,3,1,1,122381.02,1,0,0,0,0,1,-0.5651936739559947,16.242946439796135,0,0,1.0193588594897771,0,1,Multivariate only,2.52705661927622,0,1,2,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
386,560,France,Female,66,9,0.0,1,1,1,15928.49,0,1,1,0,0,1,-0.5834936146090944,17.20553832036508,0,0,1.2055857448059801,1,1,Both families,2.5820035997279875,0,1,3,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
414,693,Germany,Female,41,9,181461.48,3,1,1,187929.43,1,0,0,0,0,1,-0.6002615054914019,20.901306820161967,0,0,1.1498295390044746,0,1,Multivariate only,2.52705661927622,1,1,2,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
517,468,France,Female,56,10,0.0,3,0,1,62256.87,1,0,0,0,0,1,-0.6251993707287927,19.982064893309175,0,1,1.5804762443111213,0,1,Multivariate only,2.52705661927622,0,1,2,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
539,564,Germany,Female,62,5,114931.35,3,0,1,18260.98,1,0,0,0,0,1,-0.5900470696994827,22.693773662557884,1,0,1.1897083048538166,0,1,Multivariate only,2.52705661927622,0,1,2,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
545,504,France,Female,49,7,0.0,3,0,1,87822.14,1,0,0,0,0,1,-0.5639356000182527,13.022910660803749,0,0,1.0139844409718455,0,1,Multivariate only,2.52705661927622,0,1,2,C: Risk Signal — IF + DBSCAN Consensus,Tree isolation and density rarity independently flag the same profile.,"Prioritize a human review; test a retention treatment, not an automatic decision."
