CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Cluster,Cluster_Name,PC1,PC2,DBSCAN_Label,Ward_Label,IQR_flag,ZScore_flag,IF_flag,MAHA_flag,LOF_flag,DBSCAN_flag,UNI_flag,MV_flag,Composite_Anomaly_Score,UniMV_Segment,Anomaly_Class,Max_Abs_Z,HighBal_Churn_flag,IF_score,MAHA_dist2,Age_Band,Balance_Band,Active_Status,Churn_Status
619,France,Female,42,2,0.0,1,1,1,101348.88,1,2,Zero-Balance Multi-Product France-Skew Loyalist,0.1107,-0.8811,0,1,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.2258476714090278,0,-0.4676,5.129,Middle-aged (31-45),Zero balance,Active,Churned
608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,1,High-Balance Single-Product France-Skew Watchlist,-0.8428,-0.7795,0,0,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.3875375865624426,0,-0.4582,3.166,Middle-aged (31-45),Insured (0-100K),Active,Retained
502,France,Female,42,8,159660.8,3,1,0,113931.57,1,0,High-Balance Multi-Product Germany-Skew Mixed-Risk,0.8425,0.5161,-1,2,0,0,1,0,0,1,0,1,2,Multivariate only,C: Risk Signal — High-Balance Pre-Churn,2.52705661927622,1,-0.5822,19.566,Middle-aged (31-45),Above ceiling (>100K),Inactive,Churned
699,France,Female,39,1,0.0,2,0,0,93826.63,0,2,Zero-Balance Multi-Product France-Skew Loyalist,1.3358,-0.9921,1,1,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.3875375865624426,0,-0.452,4.121,Middle-aged (31-45),Zero balance,Inactive,Retained
850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,1,High-Balance Single-Product France-Skew Watchlist,-1.2736,-0.7467,0,0,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,2.063883767202561,0,-0.505,6.915,Middle-aged (31-45),Above ceiling (>100K),Active,Retained
645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,0,High-Balance Multi-Product Germany-Skew Mixed-Risk,0.1548,0.92,1,2,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.03290776479748,0,-0.4516,4.544,Middle-aged (31-45),Above ceiling (>100K),Inactive,Churned
822,France,Male,50,7,0.0,2,1,1,10062.8,0,2,Zero-Balance Multi-Product France-Skew Loyalist,1.3388,-1.1539,1,1,0,0,0,0,1,0,0,1,0,Multivariate only,Normal — Not Flagged,1.7741740472947665,0,-0.5409,10.17,Senior (46-60),Zero balance,Active,Retained
376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,0,High-Balance Multi-Product Germany-Skew Mixed-Risk,2.6068,0.1439,-1,2,1,0,1,1,1,1,1,1,3,Both families,C: Risk Signal — Density Outlier + Churned,4.246376675934418,0,-0.6329,39.042,Young adult (18-30),Above ceiling (>100K),Inactive,Churned
501,France,Male,44,4,142051.07,2,0,1,74940.5,0,0,High-Balance Multi-Product Germany-Skew Mixed-Risk,-0.2873,-0.7956,1,0,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.5471409559338818,0,-0.492,6.799,Middle-aged (31-45),Above ceiling (>100K),Active,Retained
684,France,Male,27,2,134603.88,1,1,1,71725.73,0,1,High-Balance Single-Product France-Skew Watchlist,-1.1966,-0.1567,0,0,0,0,0,0,0,0,0,0,0,Neither,Normal — Not Flagged,1.1367864376227783,0,-0.4686,4.481,Young adult (18-30),Above ceiling (>100K),Active,Retained
