antecedent,consequent_extra,n_ant,support,confidence,lift,conviction
Active_Status_Inactive|Age_Band_Senior|Products_Label_Products_1,,3,0.0405,0.7729007633587787,3.794309098472159,3.5063966232155312
Active_Status_Inactive|Age_Band_Senior,Products_Label_Products_1,2,0.0405,0.5146124523506989,3.652324005327884,1.7699259125839484
Active_Status_Inactive|Age_Band_Senior,,2,0.0538,0.6836086404066073,3.35595797941388,2.5168196707600914
Active_Status_Inactive|Age_Band_Senior|CrCard_Status_Has_CrCard,,3,0.0378,0.6762075134168157,3.319624513582797,2.459291152625725
Age_Band_Senior|Geography_Germany,,2,0.0338,0.6733067729083665,3.30538425580936,2.43745487058779
Age_Band_Senior|Gender_Female|Products_Label_Products_1,,3,0.0323,0.6646090534979425,3.26268558418234,2.374244164700108
Age_Band_Senior|Products_Label_Products_1,,2,0.0606,0.6090452261306533,2.9899127448731138,2.036808478080657
Age_Band_Senior|CrCard_Status_Has_CrCard|Products_Label_Products_1,,3,0.0418,0.5988538681948423,2.939881532620728,1.985062137908666
Age_Band_Senior|Gender_Female,,2,0.0471,0.572992700729927,2.812924402208773,1.8648393118720856
Age_Band_Senior|Balance_Band_Mid_Balance,,2,0.0367,0.5620214395099541,2.7590645042216697,1.8181255203243496
Age_Band_Senior|CrCard_Status_Has_CrCard|Gender_Female,,3,0.0314,0.5528169014084506,2.713877768328182,1.7807023582226809
Active_Status_Inactive|Geography_Germany|Products_Label_Products_1,,3,0.0375,0.5208333333333334,2.5568646702667324,1.6618434747926745
Age_Band_Senior,,1,0.0842,0.5112325440194292,2.509732665780212,1.6292001208903195
